Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number,Random Number
1402 3rd Av,Rescue Elevator,5/30/19 11:22,47.608766,-122.336894,POINT (-122.336894 47.608766),F190056035,1
500 17th Av,Aid Response,5/30/19 11:23,47.606176,-122.310249,POINT (-122.310249 47.606176),F190056036,2
1504 Ne 90th St,Automatic Medical Alarm,5/30/19 11:41,47.693978,-122.312101,POINT (-122.312101 47.693978),F190056044,3
4225 Roosevelt Way Ne,Aid Response,5/30/19 11:46,47.657942,-122.317791,POINT (-122.317791 47.657942),F190056046,4
3401 W Government Way,Aid Response Yellow,5/30/19 11:49,47.659307,-122.400889,POINT (-122.400889 47.659307),F190056049,5
4120 Stone Way N,Aid Response,5/30/19 11:53,47.657086,-122.342356,POINT (-122.342356 47.657086),F190056050,6
900 S Jackson St,AFA4 - Auto Alarm 2 + 1 + 1,4/26/19 05:57,47.599191,-122.321025,POINT (-122.321025 47.599191),F190041663,7
1124 Columbia St,Aid Response,5/15/19 23:02,47.608025,-122.323562,POINT (-122.323562 47.608025),F190049595,8
6526 18th Av Ne,Illegal Burn,5/15/19 23:03,47.675936,-122.308717,POINT (-122.308717 47.675936),F190049596,9
2505 E Yesler Way,Aid Response,4/26/19 00:19,47.601663,-122.299917,POINT (-122.299917 47.601663),F190041617,10
2nd Av / Columbia St,Aid Response,5/9/19 04:20,47.603733,-122.333825,POINT (-122.333825 47.603733),F190046817,11
711 Cherry St,Aid Response,4/26/19 00:20,47.605392,-122.327499,POINT (-122.327499 47.605392),F190041618,12
2461 4th Av S,Aid Response,6/30/19 19:02,47.581466,-122.329055,POINT (-122.329055 47.581466),F190068666,13
5550 Phinney Av N,Aid Response,6/30/19 19:08,47.669109,-122.354405,POINT (-122.354405 47.669109),F190068669,14
Ne 45th St / Roosevelt Way Ne,Aid Response,6/30/19 19:12,47.661299,-122.317638,POINT (-122.317638 47.661299),F190068670,15
1201 Ne Campus Pkwy,Aid Response,5/15/19 23:18,47.656013,-122.315699,POINT (-122.315699 47.656013),F190049597,16
3013 S Mount Baker Blvd,Aid Response,5/2/19 18:44,47.575931,-122.293981,POINT (-122.293981 47.575931),F190044288,17
3818 32nd Av W,Medic Response,5/9/19 04:39,47.654216,-122.398235,POINT (-122.398235 47.654216),F190046819,18
2905 1st Av,Auto Fire Alarm,5/9/19 04:40,47.61695,-122.352561,POINT (-122.352561 47.61695),F190046820,19
708 38th Av,Aid Response,5/9/19 04:30,47.608325,-122.284707,POINT (-122.284707 47.608325),F190046818,20
4521 17th Av Ne,Hang-Up- Aid,4/26/19 00:25,47.66144,-122.309722,POINT (-122.309722 47.66144),F190041619,21
3314 16th Av S,Aid Response,4/26/19 00:29,47.573913,-122.312445,POINT (-122.312445 47.573913),F190041620,22
1009 E Union St,Aid Response,4/26/19 00:30,47.612939,-122.319314,POINT (-122.319314 47.612939),F190041621,23
111 Cedar St,Medic Response,4/26/19 00:31,47.615877,-122.35052,POINT (-122.35052 47.615877),F190041622,24
2801 ALASKAN WAY,Aid Response,4/26/19 00:45,47.614433,-122.354025,POINT (-122.354025 47.614433),F190041624,25
725 9th Av,Water Job Minor,4/26/19 00:52,47.606444,-122.325563,POINT (-122.325563 47.606444),F190041625,26
3266 Sw Avalon Way,Aid Response,4/26/19 00:56,47.56422,-122.373106,POINT (-122.373106 47.56422),F190041626,27
601 Union St,Auto Fire Alarm,5/2/19 15:43,47.610155,-122.333545,POINT (-122.333545 47.610155),F190044218,28
101 27th Av,Auto Fire Alarm,5/2/19 19:12,47.601658,-122.297864,POINT (-122.297864 47.601658),F190044301,29
101 27th Av,3RED - 1 +1 + 1,5/2/19 19:12,47.601658,-122.297864,POINT (-122.297864 47.601658),F190044300,30
901 5th Av N,Trans to AMR,5/2/19 19:15,47.627159,-122.34755,POINT (-122.34755 47.627159),F190044304,31
932 N 92nd St,Aid Response,5/2/19 19:16,47.695642,-122.346839,POINT (-122.346839 47.695642),F190044305,32
9645 Renton Av S,Aid Response,5/2/19 19:19,47.515841,-122.26808,POINT (-122.26808 47.515841),F190044306,33
26th Av Nw / Nw Market St,MVI - Motor Vehicle Incident,5/2/19 19:23,47.668668,-122.390145,POINT (-122.390145 47.668668),F190044307,34
